id,origin,destination,quantity_feu,release_h,due_h,tardiness_usd_per_feu_h,case_id,source_batch_id,source_sheet,source_row
D3-09,xian,columbus,62.5,0.0,756.0,75.56,D3,9,Batches_Columbus,12
D3-10,xian,columbus,70.0,0.0,768.0,60.0,D3,10,Batches_Columbus,13
D3-11,xian,columbus,40.5,0.0,754.0,125.42,D3,11,Batches_Columbus,14
D3-12,xian,columbus,62.5,0.0,701.0,170.68,D3,12,Batches_Columbus,15
D3-13,xian,columbus,65.5,0.0,668.0,151.38,D3,13,Batches_Columbus,16
D3-14,xian,columbus,45.5,0.0,814.0,188.78,D3,14,Batches_Columbus,17
D3-15,xian,columbus,61.0,0.0,775.0,132.12,D3,15,Batches_Columbus,18
D3-16,xian,columbus,63.0,0.0,718.0,107.44,D3,16,Batches_Columbus,19
D3-17,xian,columbus,45.0,0.0,677.0,133.62,D3,17,Batches_Columbus,20
D3-18,xian,columbus,49.5,0.0,758.0,61.8,D3,18,Batches_Columbus,21
D3-19,xian,columbus,75.0,0.0,703.0,87.36,D3,19,Batches_Columbus,22
D3-20,xian,columbus,51.5,0.0,716.0,102.0,D3,20,Batches_Columbus,23
D3-21,xian,columbus,73.0,0.0,797.0,171.64,D3,21,Batches_Columbus,24
D3-22,xian,columbus,47.0,0.0,699.0,192.56,D3,22,Batches_Columbus,25
D3-23,xian,columbus,61.0,0.0,716.0,186.06,D3,23,Batches_Columbus,26
D3-24,xian,columbus,54.0,0.0,764.0,103.94,D3,24,Batches_Columbus,27
D3-25,xian,columbus,43.5,0.0,765.0,91.9,D3,25,Batches_Columbus,28
D3-26,xian,columbus,56.5,0.0,743.0,86.44,D3,26,Batches_Columbus,29
D3-27,xian,columbus,74.5,0.0,737.0,147.02,D3,27,Batches_Columbus,30
D3-28,xian,columbus,52.5,0.0,713.0,129.28,D3,28,Batches_Columbus,31
D3-29,xian,columbus,41.0,0.0,760.0,140.8,D3,29,Batches_Columbus,32
D3-30,xian,columbus,68.0,0.0,636.0,171.16,D3,30,Batches_Columbus,33
D3-31,xian,columbus,66.5,0.0,696.0,130.0,D3,31,Batches_Columbus,34
D3-32,xian,columbus,46.0,0.0,803.0,198.56,D3,32,Batches_Columbus,35
D3-33,xian,columbus,49.0,0.0,702.0,162.2,D3,33,Batches_Columbus,36
D3-34,xian,columbus,53.0,0.0,740.0,118.32,D3,34,Batches_Columbus,37
D3-35,xian,columbus,58.0,0.0,813.0,184.38,D3,35,Batches_Columbus,38
D3-36,xian,columbus,50.5,0.0,665.0,192.58,D3,36,Batches_Columbus,39
D3-37,xian,columbus,41.0,0.0,691.0,99.42,D3,37,Batches_Columbus,40
D3-38,xian,columbus,42.0,0.0,726.0,73.0,D3,38,Batches_Columbus,41
D3-39,xian,columbus,70.0,0.0,747.0,128.8,D3,39,Batches_Columbus,42
D3-40,xian,columbus,56.5,0.0,740.0,184.66,D3,40,Batches_Columbus,43
